sn,key_1,key_2,key_3,bot_question,user_question
85,,,Park,Would you prefer the availability of parks nearby?,Do you have any options which are close to park?
86,,,MetroStation,Would the nearness to the metro station a preferance?,Is their any Metro station nearby?
87,,,Sports Complex,Would you be requiring a sports complex nearby?,Can you suggest some projects which are close to Sports Complex?
88,,Specifications,,Do you have any specific requirements with your choice of project?,What are the specifications?
89,,,Home Automation,Would you prefer options providing home automation?,Is their any project providing Home Automation?
90,,,Fully Furnished,Do you want me to show you fully furnished alternatives?,Do you have fully furnished projects?
91,,,Air Conditioning,Would air-conditioning be a requirement for you?,Are their any options offering Air Conditioning facility?
92,,,VRV Air Conditioning,Would you prefer options that provide VRV Air Conditioning?,Can you suggest some projects providing VRV Air Conditioning?
93,,,Modular Kitchen,Is Modular Kitchen a necessity for you?,Is Modular Kitchen provided?
94,,,Kitchen Dish Washer,Would you be requirin a kitchen dish washer?,Can you provide some options providing Kitchen Dish Washer?
95,,,Wardrobes,Is the provision of wardrobes a preferance for you?,Do you have any properties providing Wardrobes?
96,,,Shower Cubicle,Would you be requiring a shower cubicle?,Is their any property having Shower Cubicle?
97,,,BathTub,Would you prefer options that provide a bath tub?,Can you provide the details of projects providing Bath tub?
98,,,Lift,Do you want to look at societies that provide lift services?,Is lift being Provided?
99,,,Parking,May I filter options that provide parking facilities?,Can you filter out the projects offering Parking?
100,,,VisitorParking,Do you want to see options that provide visitor car parking?,Do you have any projects providing Visitor Parking?
101,,,Power Backup,Is power back-up a necessity for you?,Is Power Backup provided?
102,,,Maintenance,Do you want to shortlist options based on maintenance facilities provided?,Are their any options providing Maintenance facility?
103,,,Vastu Compliant,Is Vastu Compliance a necessity for you?,Can you filter out the projects which are Vastu Compliant?
104,,Rating,,Can I help you filter properties on the basis of user rating?,What is the rating?
105,,,High,Do you wish to see options rated best by previous users?,Can you filter out the projects which are Highly Rated?
106,,,Medium,,Is their any medium rated property?
107,,,Low,,Can you exclude the low rated properties?
