S.No.,User_query,Bot_reply,Relevant
72,What societies in GGN provide the best security?,We provide property listings aided by genuine user reviews and ratings. What area or locality do you have in mind?,Yes
73,Show me societies which provide multiple parking spaces per apartment.,Let me find out the societies that provide the required service. What area or locality do you have in mind?,Yes
74,Does ATS Tangerine have a Squash Court?,Let me check that for you.,Yes
75,I have a 2BHK in ATS Tangerine. I wish to put it on rent. Find me prospective buyers,"Sorry, we do not provide that facility. I can help you with renting or buying property. ",No
76,I want to sell my apartment which is in ATS Triumph. ,"Sorry, we do not provide that facilty. I can help you with renting or buying property.",No
77,Find apartment sharing options in GGN for bachelors ,"Sorry, we do not provide that facility. I can help you with renting or buying property.",No
78,I want an apartment near my office.,Sure. Are you looking to rent or buy an apartment?,Yes
79,Hi,"Hello there, how can I help you?",Yes
80,"Looking for an apartment to rent on M.G. Road within 40,000. ",Alright. What kind of an apartment are you looking for?,Yes
81,"A 3 bedroom house on M.G. Road within 40,000",Let me show you the societies which provide apartments suitable to you at your preferred location.,Yes
82,What are the best underconstruction projects in GGN to invest in?,Let me show you the top rated properties under construction to invest in. ,Yes
83,Restart,"Hello there, how can I help you?",Yes
84,Can you help me schedule a visit to AWHO Sispal Vihar?,"Sorry, we do not provide that facility. I can help you with renting or buying property.",No
85,How far is the nearest police station from Central Park I?,Let me find out the nearest police station from your choice of location.,Yes
86,What are the nearest banks around Bestech park View City 1?,Let me search for the required information,Yes
87,Give me the configuration of a 2BHK apartment in Bestech Park view ananda.,Looking for information on the selected property...,Yes
88,What are the best sports and recreational clubs around BTPL Beverly towers?,Let me look for the best options available near your choice of location.,Yes
89,How long will it take from BTPL Beverly towers to reach the nearest club?,Calculating the time taken to travel from your chosen location to the nearest club...,Yes
90,What are the best Cinemas around BPTP Park Prime?,Let me look for the best options available near your choice of location.,Yes
91,How far is PVR from BPTP Park Prime?,Please wait while I generate the required information.,Yes
92,Cinemas near BPTP Park Prime,Let me look for the best options available near your choice of location.,Yes
93,How long will it take from BPTP Park Prime to reach PVR Cinemas?,Let me calculate that for you,Yes
94,What are the nearest Cinemas around BPTP Park Prime?,Let me look for the best options available,Yes
95,Are there any good pre-schools available inside BPTP spacio?,"Yes, let me show you the best options available of your choice of service.",Yes
96,Pre-schools around BPTP spacio,Let me show you a listing of the best options available of your choice of service.,Yes
97,What are the nearest pre-schools around BPTP spacio?,Let me show you the best options available of your choice of service.,Yes
98,How far is BPTP spacio from the nearest Pre-School?,Calculating the distance from your choice of location to the nearest pre-school...,Yes
99,How long will it take from BPTP spacio to reach the nearest pre-School?,Let me calculate that for you,Yes
100,What are the most prominent pre-schools available near BPTP spacio?,Let me show you the best options available of your choice of service.,Yes
101,What are the nearest day-care centers around BPTP Park Serene?,Let me look up the best options available of your choice of service.,Yes
102,What are the most prominent day-care centers available near BPTP Park Serene?,Let me find out the best options available of your choice of service.,Yes
103,Are there any Day care centers available inside BPTP Park Serene?,Hold on as I enquire about your choice of service.,Yes
104,Day-care centers around BPTP Park Serene,Let me show you the best options available of your choice of service.,Yes
105,Show me user ratings for Day Care Centers inside BPTP Park Serene.,Roofpik provides an efficient system of user reviews and ratings for you to make the best decision. Here are the user reviews of your service of choice.,Yes
106,What are the nearest supermarkets available around BPTP Amstoria?,Let me show you the best options available of your choice of service.,Yes
107,Super markets around BPTP Amstoria,Let me show you the best options available near your choice of location.,Yes
108,How far is BPTP Amstoria from the nearest supermarket?,Calculating distance from your choice of location to the nearest super market...,Yes
109,What is the biggest supermarket near BPTP Amstoria?,Let me look that up for you,Yes
110,What are the nearest parlours available around BPTP Park Generations?,Showing you the best options available of your choice of service...,Yes
111,Are there any parlours available inside BPTP Park Generations?,Let me find that out for you,Yes
112,Show me user reviews for parlours available inside BPTP Park Generations.,Roofpik provides an efficient system of user reviews and ratings for you to make the best decision. Here are the user reviews of your service of choice.,Yes
113,Best parlours near BPTP Park Generations,Showing you the best options available of your choice of service.,Yes
114,What are the nearest pharmacies available around BPTP terra?,Let me look for the best options available of your choice of service.,Yes
115,Are there any pharmacies available inside BPTP terra?,Let me find out the information that you require.,Yes
116,Pharmacies around BPTP terra,Let me show you the best options available of your choice of service.,Yes
117,Most conveniently accessible pharmacies for BPTP terra residents.,The best options available of your choice of service are listed below.,Yes
118,What are the top rated restaurants around BPTP Chateue?,Let me show you the best options available of your choice of service.,Yes
119,How far is BPTP Chateue from Wendy’s?,Let me calculate the required distance for you.,Yes
120,Best diners around BPTP Chateue,Let me show you the best options available.,Yes
121,Are there any restaurants available inside BPTP Chateue?,Let me locate the services required by you.,Yes
122,How far is BPTP Park Prime Mansions from the fire station?,Calculating the distance from your choice of location to the nearest fire station.,Yes
123,Fire station near BPTP Park Prime Mansions,Looking for the required service near your location of choice.,Yes
124,Are there any fire stations near BPTP Park Prime Mansions?,Hold on as I look for the required service near your choice of location.,Yes
125,How long will it take from Brisk Lumbini Terrace Homes to reach the nearest Metro Station at peak-time?,Calculating the desired information...,Yes
126,How long will it take from Brisk Lumbini Terrace Homes to reach the nearest Metro Station off peak-time?,Hold on while I look for the required data,Yes
127,How long will it take from Brisk Lumbini Terrace Homes to reach the nearest Railway station at peak time?,Let me calculate that for you,Yes
128,How long will it take from Brisk Lumbini Terrace Homes to reach the nearest Railway station off peak time?,Please wait while I find out about the desired data,Yes
129,How long will it take from Brisk Lumbini Terrace Homes to reach Domestic Airport at peak time?,Let me find out the exact information for you,Yes
130,How long will it take from Brisk Lumbini Terrace Homes to reach Domestic Airport off peak time?,Hold on as I look up the required information,Yes
131,How long will it take from Brisk Lumbini Terrace Homes to reach the International Airport at peak time?,Watch the space below for the required information,Yes
132,How long will it take from Brisk Lumbini Terrace Homes to reach the International Airport off peak time?,Hold on as I look that up for you,Yes
133,How long will it take from Capital square to reach the nearest but stand?,Finding the best solution to your query...,Yes
134,What is the total land area covered by CHD Vann?,Hold on as I look for the required information,Yes
135,CHD Vann total area,Hold on as I look for the required information,Yes
136,How many towers does CHD tee9 have?,Give me a moment as I find that out for you,Yes
137,How many floors does each tower in CHD tee9 have?,Your choice of property furnishes the following information,Yes
138,How many lifts does each tower in CHD tee9 have?,Your choice of property furnishes the following data,Yes
139,Does CHD 106 Golf Avenue provide visitor car parking?,Let me look for information rearding the required service,Yes
140,How many car parkings does CHD 106 Golf Avenue provide?,Let me look for information rearding the required service,Yes
141,Does Chintels Serenity have a RWA?,Your society of choice provides the required service,Yes
142,Put me in touch with the RWA of Chintels Serenity,We do not provide that facility right now,No
143,Are there any good schools available inside Unitech Escape?,"Yes, let me look for the best options available.",Yes
144,Best schools around Unitech Escape,Looking for the required service near your location of choice..,Yes
145,What are the nearest schools around Unitech Escape?,The best options available of your choice of service are listed below.,Yes
146,How far is Unitech Escape from the nearest School?,Let me calculate that for you,Yes
147,How long will it take from Unitech Escape to reach the nearest School?,Calculating the time taken to travel from your chosen location to the nearest school,Yes
148,What are the most prominent schools available near Unitech Escape?,Let me show you a listing of the best options available of your choice of service.,Yes
149,Prominent schools around Unitech Escape,"Yes, let me show you the best options available of your choice of service.",Yes
150,Show me prominent Schools close to Unitech Escape,"Yes, let me look for the best options available.",Yes
151,Show me user ratings for Schools around Unitech Escape,,
152,I want to look for prominent schools around Unitech Escape,Let me show you a listing of the best options available of your choice of service.,Yes
153,Are there any good hospitals available inside Tulip Pelats?,"Yes, let me look for the best options available.",Yes
154,Best hospitals around Tulip Pelats,Looking for the required service near your location of choice..,Yes
155,What are the nearest hospitals or clinics around Tulip Pelats?,The best options available of your choice of service are listed below.,Yes
156,How far is Tulip Pelats from the nearest hospital?,Let me calculate that for you,Yes
157,How long will it take from Tulip Pelats to reach the nearest hospitals,Calculating the time taken to travel from your chosen location to the nearest hospital...,Yes
158,What are the most prominent hospitals available near Tulip Pelats?,Let me show you a listing of the best options available of your choice of service.,Yes
159,Prominent hospitals around Tulip Pelats,"Yes, let me show you the best options available of your choice of service.",Yes
160,Show me prominent medical care centers close to Tulip Pelats,"Yes, let me look for the best options available.",Yes
161,Show me user ratings for hospitals around Tulip Pelats,,
162,I want to look for prominent hospitals around Tulip Pelats,Let me show you a listing of the best options available of your choice of service.,Yes
163,Are there any good sports clubs available inside Unitech Harmony?,"Yes, let me look for the best options available.",Yes
164,Best recreational centers around Unitech Harmony,Looking for the required service near your location of choice..,Yes
165,What are the nearest sports or recreational centers around Unitech Harmony?,The best options available of your choice of service are listed below.,Yes
166,How far is Unitech Harmony from the nearest sports ground?,Let me calculate that for you,Yes
167,How long will it take from Unitech Harmony to reach the nearest recreational facility?,Calculating the time taken to travel from your chosen location to the nearest sportsrecreational facility...,Yes
168,What are the most prominent sports and recreational clubs available near Unitech Harmony?,Let me show you a listing of the best options available of your choice of service.,Yes
169,Prominent recreational facility around Unitech Harmony,"Yes, let me show you the best options available of your choice of service.",Yes
170,Show me prominent sports centers close to Unitech Harmony,"Yes, let me look for the best options available.",Yes
171,Show me user ratings for sports clubs around Unitech Harmony,,
172,I want to look for prominent sports and recreational means around Unitech Harmony,Let me show you a listing of the best options available of your choice of service.,Yes
173,What are the nearest malls available around BPTP Amstoria?,Showing you the best options available of your choice of service...,Yes
174,Best malls around BPTP Amstoria,Hold on as I enquire about your choice of service.,Yes
175,How far is BPTP Amstoria from the nearest mall?,Let me calculate the required distance for you.,Yes
176,What is the biggest mall near BPTP Amstoria?,Let me look that up for you,Yes
177,Find out the best place to shop at malls around BPTP Amstoria,Hold on as I look up the required information,Yes
178,I want see the nearest malls near BPTP Amstoria,Watch the space below for the required information,Yes
179,Are there any good malls available close to BPTP Amstoria,"Yes, Let me generate a listing of the best options available.",Yes
180,Can you look for malls available near BPTP Amstoria,"Yes, hold on while I present a list of the best options available to you.",Yes
181,I can’t find any malls around BPTP Amstoria,Let me help you with that.,Yes
182,How long will it take to reach the nearest mall from BPTP Amstoria,Calculating the time taken to travel from your chosen location to the nearest mall...,Yes
183,Prominent pre-schools around BPTP Spacio,"Yes, let me show you the best options available of your choice of service.",Yes
184,Show me prominent Pre Schools close to BPTP Spacio,"Yes, let me look for the best options available.",Yes
185,Show me user ratings for Pre Schools around BPTP Spacio,,
186,I want to look for prominent pre-schools around BPTP Spacio,Showing you the best options available of your choice of service.,Yes
187,Show me user ratings for Day Care Centers around BPTP Park Serene,,
188,I want to look for Day Care Centers near BPTP Park Serene,Hold on as I look up the required information,Yes
189,Show me prominent Day Care centers around BPTP Park Serene,"Yes, let me look for the best options available.",Yes
190,Nearest Day Care Centers around BPTP Park Serene,"Yes, Let me generate a listing of the best options available.",Yes
191,What are the nearest markets available around BPTP Amstoria?,"Yes, hold on while I present a list of the best options available to you.",Yes
192,Markets around BPTP Amstoria,Let me generate a listing of the best options available to aid your selection.,Yes
193,How far is BPTP Amstoria from the nearest market?,Calculating the desired information...,Yes
194,What is the biggest market near BPTP Amstoria?,Let me show you the best options available of your choice of service.,Yes
195,Find out the best place to shop around BPTP Amstoria,Showing you the best options available of your choice of service...,Yes
196,I want see the nearest shopping areas near BPTP Amstoria,Let me look for the best options available near your choice of location.,Yes
197,Are there any good markets available close to BPTP Amstoria,"Yes, let me show you the best options available of your choice of service.",Yes
198,Can you look for the markets available near BPTP Amstoria,Yes of course. Please wait while I generate the required information.,Yes
199,I can’t find any marts around BPTP Amstoria,Let me help you with that.,Yes
200,How long will it take to reach the nearest market from BPTP Amstoria,Calculating the time taken to travel from your chosen location to the nearest market...,Yes
201,Find out the best supermarkets around BPTP Amstoria,Showing you the best options available of your choice of service...,Yes
202,I want see the nearest supermarkets near BPTP Amstoria,Let me look for the best options available near your choice of location.,Yes
203,Are there any good supermarkets available close to BPTP Amstoria,"Yes, let me show you the best options available of your choice of service.",Yes
204,Can you look for the Supermarkets available near BPTP Amstoria,Yes of course. Please wait while I generate the required information.,Yes
205,I can’t find any supermarts around BPTP Amstoria,Let me help you with that.,Yes
206,How long will it take to reach the nearest supermarket from BPTP Amstoria,Calculating the time taken to travel from your chosen location to the nearest supermarket...,Yes
207,Show me the best salons available near BPTP Park Generations,Please wait while I generate the required information.,Yes
208,Can you find me the nearest salon from BPTP Park Generations?,"Yes, let me show you the best options available of your choice of service.",Yes
209,What are the nearest gyms available around Spaze Privy?,Let me look up the best options available of your choice of service.,Yes
210,Are there any gyms or spas available inside Spaze Privy?,"Yes, let me show you a listing of the best options available of your choice of service.",Yes
211,Show me user reviews for gyms available inside Spaze Privy.,,Yes
212,Best gyms near Spaze Privy.,Let me search for the required information,Yes
213,Show me the best gyms available near Spaze Privy,Please wait while I generate the required information.,Yes
214,Can you find me the nearest gym and spa from Spaze Privy?,"Yes, let me show you the best options available of your choice of service.",Yes
215,Can you help me locate the nearest medical shop near BPTP Terra Residents,"Certainly, let me look up the best options available of your choice of service.",Yes
216,How far is the nearest medical shop from BPTP Terra Residents,Let me calculate the required distance for you.,Yes
217,Show me the number of pharmacies provided inside BPTP Terra Residents,Hold on as I enquire about your choice of service.,Yes
218,Is Roofpik associated with Zomato?,"No, Roofpik is an independent organization that is here to help you with real estate.",Yes
219,Can you help me find the top rated restaurants around BPTP Chateau?,"Yes, let me show you a listing of the best options available of your choice of service.",Yes
220,Does BPTP Chateue provide fine dining options inside the society?,Let me quickly look that up for you,Yes
221,Can you help me locate the nearest fire station to BPTP Park Prime Mansions?,"Certainly, hold on as I find that out for you",Yes
222,Contact details of the nearest fire station from BPTP Park Prime Mansions,Let me furnish that information for you,Yes
223,Metro station from Earth Copia,Looking for the required service near your location of choice.,Yes
224,How quickly can I get to the metro station from Earth Copia at peak time?,Let me calculate that for you,Yes
225,How quickly can I get to the metro station from Earth Copia off peak time?,Calculating the desired information...,Yes
226,Can you help me look for the closest metro station from Earth Copia?,"Yes, let me find out the exact information for you",Yes
227,Find nearest Metro Station from Earth Copia,Hold on as I look up the required information,Yes
228,Locate closest Metro Station from Earth Copia,Let me locate the service required by you.,Yes
229,I want to take the metro closest to Earth Copia,Hold on while I look for the required data,Yes
230,Nearest metro service from Earth Copia,Let me show you the best option available,Yes
231,Shortest route to the nearest metro line from Earth Copia at peak time,Finding the best solution to your query...,Yes
232,Railway station from DLF Primus,Looking for the required service near your location of choice.,Yes
233,How quickly can I get to NDLS railway station from DLF Primus at peak time?,Let me calculate that for you,Yes
234,How quickly can I get to the NZM railway station from DLF Primus off peak time?,Calculating the desired information...,Yes
235,Can you help me look for the closest railway station from DLF Primus?,"Yes, let me find out the exact information for you",Yes
236,Find nearest Railway Station from DLF Primus,Hold on as I look up the required information,Yes
237,Locate closest Railway Station from DLF Primus,Let me locate the service required by you.,Yes
238,I want to go to the Railway Station closest to DLF Primus,Hold on while I look for the required data,Yes
239,Nearest railway station from DLF Primus,Let me show you the best option available,Yes
240,Shortest route to the nearest railway station from DLF Primus at peak time,Finding the best solution to your query...,Yes
241,Domestic Airport from Ireo Skyon,Looking for the required service near your location of choice.,Yes
242,How quickly can I get to Domestic Airport from Ireo Skyon at peak time?,Let me calculate that for you,Yes
243,How quickly can I get to the Domestic Airport from Ireo Skyon off peak time?,Calculating the desired information...,Yes
244,Can you help me look for the Domestic Airport from Ireo Skyon?,"Yes, let me find out the exact information for you",Yes
245,Find Domestic Airport from Ireo Skyon,Hold on as I look up the required information,Yes
246,Locate Domestic Airport from Ireo Skyon,Let me locate the service required by you.,Yes
247,I want to go to the Domestic Airport closest to Ireo Skyon,Let me help you with that.,Yes
248,Shortest route to the DomesticAirport from Ireo Skyon at peak time,Finding the best solution to your query...,Yes
249,International Airport from Ireo Skyon,Looking for the required service near your location of choice.,Yes
250,How quickly can I get to International Airport from Ireo Skyon at peak time?,Let me calculate that for you,Yes
251,How quickly can I get to the International Airport from Ireo Skyon off peak time?,Calculating the desired information...,Yes
252,Can you help me look for the International Airport from Ireo Skyon?,"Yes, let me find out the exact information for you",Yes
253,Find International Airport from Ireo Skyon,Hold on as I look up the required information,Yes
254,Locate International Airport from Ireo Skyon,Let me locate the service required by you.,Yes
255,I want to go to the Int. Airport closest to Ireo Skyon,Let me help you with that.,Yes
256,Shortest route to the Int. Airport from Ireo Skyon at peak time,Finding the best solution to your query...,Yes
257,Bus station from Paras Dews,Looking for the required service near your location of choice.,Yes
258,How quickly can I get to the Bus station from Paras Dews at peak time?,Let me calculate that for you,Yes
259,How quickly can I get to the Bus station from Paras Dews off peak time?,Calculating the desired information...,Yes
260,Can you help me look for the closest Bus station from Paras Dews?,"Yes, let me find out the exact information for you",Yes
261,Find nearest Bus Station from Paras Dews,Hold on as I look up the required information,Yes
262,Locate closest Bus Station from Paras Dews,Let me locate the service required by you.,Yes
263,I want to take the Bus closest to Paras Dews,Let me help you with that.,Yes
264,Nearest Bus service from Paras Dews,Let me show you the best option available,Yes
265,Shortest route to the nearest Bus line from Paras Dews at peak time,Finding the best solution to your query...,Yes
