sn,key_1,key_2,key_3,bot_question,user_question
39,,,Squash,Is squash a neccesity for you?,Is their any options providing Squash?
40,,,Swimming Pool,Should I provide you with the options having Swimming Pool?,Is Swimming Pool provided?
41,,,Pool Table,Should I filter the properties providing pool tables?,Do you have any properties providiing Pool Table?
42,,,Snooker Table,Do you want to see properties providing snooker tables?,Can you suggest projects providing Snooker Table?
43,,,Bowling Alley,Would you prefer options providing bowling alleys?,Is Bowling Alley present?
44,,,Jogging Track,Do you want a jogging track facility in your project?,Can you suggest projects offering jogging track?
45,,,Restaurant,Would restaurants inisde the society be a preferance?,Do you have any properties having Restaurant inside?
46,,,Yoga Room,Would you be requiring a yoga room?,Are their any projects having Yoga Room?
47,,,Aerobics Room,Do you prefer options with aerobics room facility?,Is Aerobics Room provided?
48,,,Dance Room,Is the availability of Dance Room a requirement?,Can you suggest some options having Dance Room?
49,,,Music Room,Is Music Room availability a preferance?,Is music room present?
50,,,Salon,Would Salons inside the society be a preferance?,Do you have any projects having Salon?
51,,,Spa,Are Spa options a necessity for you?,Is Spa available?
52,,,Gym,Would you be requiring a gym inside the society?,Can you suggest some projects having Gym?
53,,,Video Games,Do you want the facility of video games inside the society?,Do you have options offering Video Games?
54,,,Mini Theatre,Is Mini-theatre facility a preferance for you?,Is their any project offering Mini Theatre?
55,,,Kids Zone,Would you prefer options providing a kid-zone inside the society?,Are their any projects having Kids Zone?
56,,,Bar,Is the availability of Bars a preferance for you?,Do you have any projects having Bar?
57,,,Cafe,Would Cafes inside the society be a requirement?,Can you show me properties having Cafes?
58,,,Business Centre,Would a Business Center inside the society a preferance?,Can you provide options having Business Centre inside only?
59,,,Guest Room,Would you be requiring Guest rooms inside the society?,Are their any projects offering Guest Room?
60,,,Steam Room,Is the availability of Steam rooms a preferance?,Is their any steam room facility?
61,,,Sauna Room,Would Sauna Rooms inside the society be a necessity?,Can you suggest some options having Sauna room?
62,,,Jacuzzi,Do you prefer options which provide Jacuzzi facility?,Do you have any projects offering Jacuzzi?
63,,Security,8,Do you want to have a look at the security facilities provided by the society?,What are the Security Options Offered?
64,,,Cctv Tower,Do you want to see options that have a cctv tower?,Is Cctv tower present in the project?
65,,,Guards Tower,Do you want to know about the facility of guards at tower?,Can you show me projects having guards at tower?
66,,,Cctv Maingate,Would you like to see alternatives that provide cctv at the main gate?,Is Cctv available at main gate?
67,,,Guards Maingate,Would you like me to show you options that have guards at the main gate?,Are Gaurds available at main Gate?
68,,,Intercom Maingate,Do you want to filter options based on intercom services available at the main gate?,Is intercom available at main gate?
69,,,Boom barriers Maingate,May I show you options that provide boom barriers at the main gate?,Do you have any alternatives offering Boombarriers at main gate?
70,,,Tags For Vehicles,Would you prefer societies that provide vehicle tags for residents?,Can you suggest some options providing Tags for vehicle?
71,,,Stickers for Vehicles,Would you prefer societies that provide stickers for residents' vehicles?,Are Stickers provided for the vehicles?
72,,Nearby,14,Are there any particular facilities you want nearby?,What are the Nearby Facilities?
73,,,School,Do you want to see properties with good schools nearby?,Is their any school available?
74,,,Hospital,Do you prefer options with hospitals nearby?,Can you filter the properties which are close to Hospital?
75,,,Clubs,Would the nearness to clubs be a preferance?,Is their any club nearby?
76,,,Restaurant,Would you like to see options with good restaurants nearby?,Can you suggest some projects which are close to restaurant?
77,,,Mall,Would the presence of malls nearby be a necessity?,Can you exclude the projects close to Mall?
78,,,Pre School,Is the availability of pre-schools nearby a necessity?,Do you have any Projects having PreSchool nearby?
79,,,Daycare,Do you want daycare centers nearby?,Is Daycare facility available nearby?
80,,,Market,Would you require the availability of markets nearby?,Is their any Market?
81,,,Pharmacy,Do you require pharmacies nearby?,Can you suggest some properties which are close to pharmacy?
82,,,Bank,Would you be needing bank faciities near your selection?,Do you have any properties close to Bank?
83,,,Atm,Do you prefer the availability of ATMs nearby?,Is their any ATM available nearby?
84,,,Park,Would you prefer the availability of parks nearby?,Do you have any options which are close to park?
85,,,Metro Station,Would the nearness to the metro station a preferance?,Is their any Metro station nearby?
86,,,Sports Complex,Would you be requiring a sports complex nearby?,Can you suggest some projects which are close to Sports Complex?
87,,Specifications,15,Do you have any specific requirements with your choice of project?,What are the specifications?
88,,,Home Automation,Would you prefer options providing home automation?,Is their any project providing Home Automation?
89,,,Fully Furnished,Do you want me to show you fully furnished alternatives?,Do you have fully furnished projects?
90,,,Air Conditioning,Would air-conditioning be a requirement for you?,Are their any options offering Air Conditioning facility?
91,,,VRV Air Conditioning,Would you prefer options that provide VRV Air Conditioning?,Can you suggest some projects providing VRV Air Conditioning?
92,,,Modular Kitchen,Is Modular Kitchen a necessity for you?,Is Modular Kitchen provided?
93,,,Kitchen Dish Washer,Would you be requirin a kitchen dish washer?,Can you provide some options providing Kitchen Dish Washer?
94,,,Wardrobes,Is the provision of wardrobes a preferance for you?,Do you have any properties providing Wardrobes?
95,,,Shower Cubicle,Would you be requiring a shower cubicle?,Is their any property having Shower Cubicle?
96,,,Bath Tub,Would you prefer options that provide a bath tub?,Can you provide the details of projects providing Bath tub?
97,,,Lift,Do you want to look at societies that provide lift services?,Is lift being Provided?
98,,,Parking,May I filter options that provide parking facilities?,Can you filter out the projects offering Parking?
99,,,Visitor Parking,Do you want to see options that provide visitor car parking?,Do you have any projects providing Visitor Parking?
100,,,Power Backup,Is power back-up a necessity for you?,Is Power Backup provided?
101,,,Maintenance,Do you want to shortlist options based on maintenance facilities provided?,Are their any options providing Maintenance facility?
102,,,Vastu Compliant,Is Vastu Compliance a necessity for you?,Can you filter out the projects which are Vastu Compliant?
103,,Rating,3,Can I help you filter properties on the basis of user rating?,What is the rating?
104,,,High,Do you wish to see options rated best by previous users?,Can you filter out the projects which are Highly Rated?
105,,,Medium,,Is their any medium rated property?
106,,,Low,,Can you exclude the low rated properties?
